Product Name,Original Price,Discounted Price,Discount Percentage,Customer Rating (out of 5),Number of Reviews,Product URL,Category
Hot Plate Portable Double Burner Electric Coil Hot Plate - Black,"UGX 60,000","UGX 37,000",38%,3.9,143.0,https://www.jumia.ug/hot-plate-portable-double-burner-electric-coil-hot-plate-white-black-generic-mpg858636.html,Kitchen Appliance
Hoffmans 1.5L 2 In 1 Super Ice Crusher And Blender - Multicolour,"UGX 100,000","UGX 57,000",43%,3.6,18.0,https://www.jumia.ug/1.5l-2-in-1-super-ice-crusher-and-blender-multicolour-hoffmans-mpg6430749.html,Kitchen Appliance
SPJ 1L Plastic Jar Blender 300w BDX-WT300W - White & Orange,"UGX 70,000","UGX 47,300",32%,4.0,31.0,https://www.jumia.ug/spj-1l-plastic-jar-blender-300w-bdx-wt300w-white-orange-246165975.html,Kitchen Appliance
"Saachi Deep Fryer 3ltrs - Silver,Black","UGX 179,982","UGX 92,800",48%,3.8,71.0,https://www.jumia.ug/saachi-deep-fryer-3ltrs-silverblack-81191688.html,Kitchen Appliance
"SILVER CREST Commercial Blender For Heavy Duty Works & Business - Red,Black","UGX 300,000","UGX 98,000",67%,4.0,256.0,https://www.jumia.ug/silver-crest-commercial-blender-for-heavy-duty-works-business-redblack-89902514.html,Kitchen Appliance
Global Star 1.5 Litres 2 In 1 Heavy Duty  Unbreakable Jar Juice Blender GS-TY618A  - Black/white,"UGX 130,980","UGX 58,400",55%,3.8,659.0,https://www.jumia.ug/star-juice-blender-juicer-2-in-1-1.5litres-gs-ty618a-blackwhite-1-yr-wrnty-global-star-mpg1823931.html,Kitchen Appliance
Global Star 12 Litres Electric Microwave Oven GS-OV12 - Black,"UGX 165,000","UGX 145,000",12%,,,https://www.jumia.ug/global-star-12-litres-electric-microwave-oven-gs-ov12-black-256630274.html,Kitchen Appliance
ADH 6 Liters Digital Air Fryer AEF-401 - AF0604D [1Yr Wrnty]  - Black,"UGX 300,000","UGX 134,900",55%,4.3,196.0,https://www.jumia.ug/adh-6-liters-digital-air-fryer-aef-401-af0604d-1yr-wrnty-black-129293049.html,Kitchen Appliance
SilverCrest Extra Large Capacity Air Fryer Of 6 Liters - Color May Vary,"UGX 300,000","UGX 107,000",64%,4.3,56.0,https://www.jumia.ug/silvercrest-extra-large-capacity-air-fryer-of-6-liters-color-may-vary-96105902.html,Kitchen Appliance
Genuine Incline Foldable Chair - ProductColor May Vary,"UGX 350,000","UGX 299,000",15%,,,https://www.jumia.ug/genuine-incline-foldable-chair-productcolor-may-vary-259317559.html,Kitchen Appliance
"SPJ 2.2 Liter Electric Rice Cooker With Steamer, Stainless Steel Lid, Non-Stick Aluminium Inner Pot, Automatic Keep Warm Function- Red","UGX 150,000","UGX 99,000",34%,,27.0,https://www.jumia.ug/spj-2.2-liter-electric-rice-cooker-with-steamer-stainless-steel-lid-non-stick-aluminium-inner-pot-automatic-keep-warm-function-red-246192774.html,Kitchen Appliance
Hoffmans Orignal Juice Blender - Black,"UGX 100,000","UGX 58,700",41%,3.8,229.0,https://www.jumia.ug/hoffmans-orignal-juice-blender-black-51242145.html,Kitchen Appliance
RAF Electric Popcorn / Pop Corn Maker Popper Machine - Red,"UGX 100,000","UGX 45,000",55%,3.8,48.0,https://www.jumia.ug/raf-electric-popcorn-pop-corn-maker-popper-machine-red-130851671.html,Kitchen Appliance
Hot Plate Solid Double Electric Cooker - White,"UGX 90,000","UGX 45,000",50%,3.8,131.0,https://www.jumia.ug/hot-plate-solid-double-electric-cooker-white-generic-mpg1050987.html,Kitchen Appliance
Hoffmans 7.5 Liter Oil Free Air Fryer,"UGX 300,000","UGX 138,000",54%,4.2,70.0,https://www.jumia.ug/hoffmans-7.5-liter-oil-free-air-fryer-137077778.html,Kitchen Appliance
ADH Electric 3 Plug Pins Pacolater Heat Kettle Steel 2L - Silver,"UGX 50,000","UGX 31,200",38%,3.4,74.0,https://www.jumia.ug/adh-electric-3-plug-pins-pacolater-heat-kettle-steel-2l-silver-33927604.html,Kitchen Appliance
"Marado 2.5L Electric Heat Kettle Percolator - Purple, Blue, White","UGX 60,000","UGX 32,000",47%,3.8,6.0,https://www.jumia.ug/2.5l-electric-heat-kettle-percolator-purple-blue-white-marado-mpg5925459.html,Kitchen Appliance
"Global Star 1.5Litres 2 In 1 Stainless Steel And Glass Jar  Blender GS-Y88, Silver","UGX 168,894","UGX 78,800",53%,4.2,201.0,https://www.jumia.ug/global-star-1.5litres-2-in-1-stainless-steel-and-glass-jar-blender-gs-y88-silver-40291226.html,Kitchen Appliance
"Hoffmans 1.6L Blender, Dry Grinder 2 in 1 Black, White","UGX 150,000","UGX 96,000",36%,,17.0,https://www.jumia.ug/hoffmans-1.6l-blender-dry-grinder-2-in-1-black-white-245442651.html,Kitchen Appliance
7 Speed Electric Hand Mixer 260W - White,"UGX 40,000","UGX 17,000",58%,3.8,6.0,https://www.jumia.ug/7-speed-electric-hand-mixer-260w-white-generic-mpg5387029.html,Kitchen Appliance
Hisense 20 Litres Microwave Oven - Silver,"UGX 400,000","UGX 260,000",35%,4.2,6.0,https://www.jumia.ug/20-litres-microwave-oven-silver-hisense-mpg5204940.html,Kitchen Appliance
Blueflame 35 Electric Liters Mini Oven - Inox(1 Year),"UGX 339,998","UGX 196,000",42%,4.2,370.0,https://www.jumia.ug/blueflame-35-electric-liters-mini-oven-inox1-year-83152819.html,Kitchen Appliance
"Single Coil  Electric Hotplate 1000W - Black, White","UGX 59,000","UGX 26,000",56%,4.2,49.0,https://www.jumia.ug/single-coil-electric-hotplate-1000w-black-white-generic-mpg522245.html,Kitchen Appliance
Hoffmans 1.5L Juice Blender 2 in 1 Glass With Mill Grater - Silver,"UGX 120,000","UGX 66,900",44%,4.5,13.0,https://www.jumia.ug/1.5l-juice-blender-2-in-1-glass-with-mill-grater-silver-hoffmans-mpg6416335.html,Kitchen Appliance
"Infrared Single hot plate Cooker With Timer - Gold, Black","UGX 200,000","UGX 82,500",59%,,35.0,https://www.jumia.ug/infrared-single-cooker-with-timer-gold-black-hoffmans-mpg1052809.html,Kitchen Appliance
Simbaland Drum Rice Cookers 1.2L - Silver & Black,"UGX 100,000","UGX 72,900",27%,4.5,19.0,https://www.jumia.ug/simbaland-drum-rice-cookers-1.2l-silver-black-234924751.html,Kitchen Appliance
"Water Boiler Electric Percolator 2 Litres  - Green, Pink, Blue","UGX 80,000","UGX 39,000",51%,4.0,65.0,https://www.jumia.ug/generic-water-boiler-electric-percolator-2-litres-green-pink-blue-56723497.html,Kitchen Appliance
Blueflame 45 Liters Electric Mini Oven With Special Round Tray- Inox,"UGX 750,000","UGX 265,000",65%,4.3,91.0,https://www.jumia.ug/blueflame-45-liters-electric-mini-oven-with-special-round-tray-inox-111670979.html,Kitchen Appliance
Blueflame 35 Liters Electric Mini Oven With Two Hot Plates / Hobs - Inox (5YRs WRTY),"UGX 650,000","UGX 248,000",62%,3.7,36.0,https://www.jumia.ug/blueflame-35-liters-electric-mini-oven-with-two-hot-plates-hobs-inox-5yrs-wrty-111670977.html,Kitchen Appliance
"Blueflame O-200 Double Gas Top Burner - Black,Grey(1 Year)",,"UGX 85,010",,4.2,98.0,https://www.jumia.ug/o-200-double-gas-top-burner-blackgrey-blueflame-mpg115094.html,Kitchen Appliance
"Hoffmans 5 in 1 Multifunction Blender 1.8L home Use Und Powerful Commercial Food Processor With Juicer, Blender And Grinder-Black","UGX 165,000","UGX 150,000",9%,4.3,14.0,https://www.jumia.ug/hoffmans-5-in-1-multifunction-blender-1.8l-home-use-und-powerful-commercial-food-processor-with-juicer-blender-and-grinder-black-151951680.html,Kitchen Appliance
2 / Double  Burners Stainless Steel Cooking Double Gas Stove With Automatic Ignition-Silver,"UGX 150,000","UGX 59,500",60%,4.0,108.0,https://www.jumia.ug/generic-2-double-burners-stainless-steel-cooking-double-gas-stove-with-automatic-ignition-silver-110824119.html,Kitchen Appliance
Manual Lemon Squeezer - Silver,"UGX 13,000","UGX 12,000",8%,3.8,100.0,https://www.jumia.ug/generic-manual-lemon-squeezer-silver-4406035.html,Kitchen Appliance
Hisense 20 Litres Microwave Oven - Silver,"UGX 400,000","UGX 340,000",15%,4.5,414.0,https://www.jumia.ug/20-litre-microwave-oven-h20moms10-mirror-silver-hisense-mpg112002.html,Kitchen Appliance
Electric 7Speed Hand Mixer - White,"UGX 44,996","UGX 19,000",58%,3.8,343.0,https://www.jumia.ug/electric-7speed-hand-mixer-white-generic-mpg579619.html,Kitchen Appliance
Hisense 25 Liters Digital Microwave 25L /25 Litres- 1 Yr WRTY,"UGX 490,000","UGX 292,200",40%,4.3,105.0,https://www.jumia.ug/25-liters-digital-microwave-oven-with-grill-h25moms7hg-silver-hisense-mpg1123612.html,Kitchen Appliance
Single solid Hot plate - White,"UGX 40,000","UGX 27,500",31%,3.7,72.0,https://www.jumia.ug/generic-single-solid-hot-plate-white-107387888.html,Kitchen Appliance
ADH Double Cooking Gas Stove / Burner /Cooker/Cook Top With Automatic Ignition – Silver,"UGX 150,000","UGX 71,500",52%,,24.0,https://www.jumia.ug/adh-double-cooking-gas-stove-burner-cookercook-top-with-automatic-ignition-silver-157623560.html,Kitchen Appliance
Hoffmans Authentic Juice Blender - Black,"UGX 100,000","UGX 57,000",43%,3.7,3.0,https://www.jumia.ug/authentic-juice-blender-black-hoffmans-mpg6431467.html,Kitchen Appliance
Globalstar Multi-Functional Small Electric Oven Baking At Home Kitchen Appliances Automatic Mini,"UGX 140,000","UGX 97,000",31%,4.7,3.0,https://www.jumia.ug/globalstar-multi-functional-small-electric-oven-baking-at-home-kitchen-appliances-automatic-mini-250192767.html,Kitchen Appliance
2 In 1 Ice Crushing Powerful Blender Glass - Silver,"UGX 150,000","UGX 66,900",55%,4.7,3.0,https://www.jumia.ug/2-in-1-ice-crushing-powerful-blender-glass-silver-generic-mpg6086939.html,Kitchen Appliance
